user_id,item_id,rating,timestamp
1,1,3,881250949
2,2,3,891717742
3,3,1,878887116
4,4,2,880606923
5,5,1,886397596
6,6,4,884182806
7,7,2,881171488
8,8,5,891628467
9,9,3,886324817
10,10,3,883603013
11,11,2,879372434
12,12,5,879781125
13,13,5,876042340
14,14,3,891035994
15,15,3,888104457
16,16,3,879485318
17,17,5,879270459
18,18,2,879539794
19,19,4,874834944
20,20,2,892079237
21,21,4,886176814
22,22,4,892738452
23,23,4,877881320
19,24,2,874833878
24,25,4,887736532
25,26,2,879196566
26,27,5,892430094
27,28,2,883748450
28,29,4,875747401
29,30,5,876861185
30,31,3,877052329
31,32,4,882075827
32,33,4,879539727
33,34,4,880731963
34,35,3,884238860
35,18,4,886890835
36,36,1,878962623
37,37,5,891295330
38,38,1,874791932
39,39,4,891350932
40,40,4,877888877
41,41,4,885329322
42,42,2,884114233
38,43,3,874791805
43,44,5,875333916
44,45,5,884921594
45,46,5,879741196
46,47,5,879641194
47,48,5,886519097
48,49,3,882823437
49,50,4,886271884
50,51,2,876535131
51,52,4,890618898
52,53,5,885853415
53,54,5,888205088
54,55,2,880037164
55,56,4,879877127
33,57,5,880474293
56,58,5,881107687
57,59,4,881103977
7,60,3,881171009
58,61,1,879667584
42,62,4,884112673
59,63,3,882141053
44,64,4,884920949
60,65,5,879024232
22,66,1,892738341
61,67,5,883326620
62,41,5,883698581
63,18,4,891550094
64,68,4,893277702
65,69,3,879987440
66,70,1,890251826
44,71,3,884923047
18,72,4,879546723
67,73,2,887249482
48,74,4,882823954
68,75,3,886475558
69,76,3,888906576
70,77,5,884364867
32,78,5,879539643
23,77,3,878192429
32,79,5,879540748
38,80,3,874791025
19,23,5,874835091
71,81,4,878183381
72,82,5,878971773
56,83,3,881108684
73,84,4,891903862
25,85,4,888954412
74,86,4,879361873
75,87,4,877635573
55,88,4,879876194
76,89,5,875296291
77,90,2,885557505
21,91,5,874781198
11,92,4,879373848
11,93,3,879375537
78,94,4,881961214
79,95,4,879857765
80,96,3,883709863
81,93,5,891383835
12,97,4,877531942
69,98,3,888905170
82,23,4,880234639
5,99,5,886397722
83,100,4,878090499
84,101,5,885848672
29,102,5,876860807
85,24,4,875320714
86,92,3,884207492
56,103,5,881107178
87,104,5,884288058
88,105,4,886987260
89,23,4,884304936
81,106,4,891384754
84,5,4,885844430
11,107,3,879373460
76,108,3,881375854
90,109,4,879376641
91,110,4,891720887
92,111,3,879966895
6,112,4,884182806
93,113,5,878347874
94,114,5,886122352
18,115,2,879524643
54,113,5,880037702
71,116,5,883815120
83,117,3,878089182
95,7,3,890687042
15,118,3,888082216
96,119,3,878769629
97,120,4,879791710
69,121,3,888904884
82,122,3,880245029
83,123,3,878092059
53,95,5,888205300
12,124,5,877533771
4,125,4,880605185
39,126,4,891352010
98,127,1,886434402
55,18,4,879876734
18,128,2,879551380
96,129,2,884714402
59,130,2,882139746
59,131,4,884538403
4,132,2,880605157
9,67,5,886323090
25,133,2,888954930
99,134,2,883955745
23,135,4,889502823
62,136,3,883698454
100,137,3,883452363
101,138,4,891449922
23,84,3,877878184
18,139,4,879525876
29,119,4,876860807
47,140,3,885678247
40,22,4,877886846
102,141,4,874724988
103,67,3,879456350
16,64,4,879467295
104,142,5,878870987
105,109,3,891387947
81,32,5,891383204
106,143,2,888067405
56,144,3,881108425
107,141,4,876973939
108,48,4,885412840
109,145,4,875744136
110,146,3,875636053
9,141,2,886324028
93,96,4,883612356
99,147,4,875975656
76,148,1,875298353
111,139,5,887401701
68,149,4,886472768
6,150,3,884183336
76,151,1,892174404
112,152,4,883601324
113,153,3,880130193
109,154,2,875542174
47,155,4,885680138
59,32,4,881515011
114,156,3,891347949
39,157,4,891353086
71,158,4,878183481
13,159,5,884128554
21,99,4,876923913
104,160,5,878955442
38,52,3,874786392
91,161,3,891723086
115,124,4,875801662
26,99,4,892428688
29,162,3,876857977
69,163,3,888906966
114,164,2,891385985
115,165,4,875216545
66,166,3,886443455
116,167,4,882164999
117,168,4,878542420
54,169,4,880036718
118,158,3,892910207
59,170,4,882140926
119,137,2,879455957
66,171,3,875654637
120,172,2,884386343
57,102,5,881105481
121,173,5,888549622
49,174,2,886272175
15,65,3,888104153
36,175,4,878962392
102,176,4,874724710
9,121,4,886323648
122,177,3,882922806
123,178,5,891170769
124,179,5,877399018
125,180,2,892838559
34,181,5,884238860
89,182,4,884304936
126,30,4,887665548
81,183,4,891383319
127,184,5,879455113
18,53,3,879521396
125,185,4,879454628
88,186,1,886987605
23,134,4,877877775
128,187,5,879524921
101,188,4,891446165
10,134,5,883599249
129,189,3,880937882
16,190,5,879467542
130,191,1,877727122
31,192,4,882078621
38,193,3,874793035
9,194,2,886323068
18,195,2,879541148
131,196,2,891438397
55,197,4,879875940
132,198,4,877819599
12,199,4,877531791
13,200,5,884128458
133,99,1,891632142
48,201,4,882826555
16,202,2,879484804
11,203,4,879374686
120,204,3,876018608
66,160,4,875653271
31,205,4,882078040
134,206,5,882157581
135,207,3,884150257
28,1,3,875747190
78,45,3,881961671
76,208,4,875307407
83,209,4,878089716
136,32,3,890881335
23,210,3,889502324
18,80,3,879525876
16,125,3,879485532
21,78,5,874775038
137,211,5,879966498
109,164,2,875742942
109,146,2,875744173
112,156,4,883601089
138,178,5,879394264
126,212,4,880308578
139,213,3,891542540
140,172,2,881368243
141,214,4,891374868
109,215,1,875744501
31,216,4,882076587
142,217,5,879283786
20,218,3,892334609
126,219,4,880308755
36,117,2,878961624
143,220,4,875240090
26,221,5,892430369
39,93,4,891352093
94,222,4,886122952
36,223,1,878961814
42,224,1,884140579
103,225,4,879456199
101,226,3,891450023
53,227,3,888205855
12,57,4,889651549
144,103,1,889124507
145,228,5,875936424
57,229,5,881104093
115,12,3,876250718
146,32,4,875155140
64,230,5,893265380
147,231,1,889452455
148,94,5,877488546
149,67,3,879873020
21,13,5,874775311
150,232,4,880134407
71,24,4,877563802
76,233,3,875308843
31,155,5,882076403
36,234,2,878963441
42,235,1,884140115
59,236,3,881515193
117,237,3,888732928
77,78,5,875270570
151,115,4,874786462
42,238,4,884114505
152,239,5,884197193
56,26,3,881105817
153,223,3,891964230
31,197,3,882078830
130,240,5,877720297
25,119,3,879197562
154,241,4,879138713
155,242,5,884733766
152,243,5,884196584
4,159,3,880606667
71,171,4,878183616
59,244,5,882140588
130,239,5,877722736
156,167,4,876956264
77,69,2,875270655
157,240,5,879465631
13,41,5,876041644
158,245,5,887646170
159,246,3,877136138
160,211,3,889909840
92,247,4,879967478
36,248,1,878961781
160,221,3,889911285
117,249,4,878542699
117,250,4,875072547
160,251,5,889906967
129,228,3,880937813
91,252,4,891725009
92,243,4,879967767
151,196,2,874784266
31,253,3,882077222
31,254,3,882075672
161,255,1,892440172
96,256,3,878769848
71,257,3,878181976
148,258,3,877488316
24,259,4,887739521
16,260,5,879467959
162,261,3,890588547
163,262,2,891435680
164,263,5,882126156
68,264,4,887347350
38,146,4,874792436
165,265,1,888442575
28,266,3,875747514
72,267,4,878970785
59,216,5,881515011
166,268,3,885775745
12,78,2,875806800
132,269,5,889241426
81,270,4,891384424
113,65,4,880129731
66,77,3,875656201
24,271,4,887739292
167,217,3,888105691
168,2,4,891560253
53,272,3,888206409
13,103,5,884129409
130,273,5,877726146
84,274,4,885848448
84,275,3,885849325
169,276,5,888640356
146,277,3,876197678
71,104,3,878182109
55,14,3,879876917
120,156,4,877879172
127,278,2,879454663
170,279,4,880130397
120,280,2,879664906
23,281,3,889503806
84,282,4,885849447
9,283,4,886324486
106,284,2,888068912
91,285,3,891722802
115,286,3,874953895
40,287,3,877888677
171,251,3,880433418
168,288,4,891560842
99,196,3,875975110
172,289,5,874951695
173,103,5,891409839
59,214,2,888073635
18,290,3,879527264
20,291,4,892334543
24,292,4,887740700
24,293,4,887737036
101,294,5,891447773
91,7,4,891721889
109,295,3,875310824
127,296,5,879455254
105,297,3,891390477
152,60,5,884196921
174,288,3,891732334
175,298,5,877544218
20,299,3,892079140
165,141,2,888465972
26,300,1,892434626
101,301,1,891456255
39,302,4,891353444
20,303,3,892078343
146,137,2,876197645
122,304,3,882922661
